id;kode;description;company_code;business_area;orgeh;nip_leader;plan_leader;personel_area;personel_subarea
1;1000;PT PLN (PERSERO);1000;1001;15000000;;;;
2;1001;PT PLN INDONESIA POWER;1200;1201;10096380;;;1270;0001
3;1002;PT PLN NUSANTARA POWER;1200;1201;10096381;;;1280;0001
4;1003;PT PLN ICON PLUS;1200;1201;10096382;;;1260;0001
5;1004;PT PLN BATAM;1300;1301;10091862;;;1290;0001
6;1005;PT PLN ENJINIRING;1300;1301;17409295;;;1300;0001
7;1006;PT PLN NUSA DAYA;1300;1301;17499451;;;1230;0001
8;1007;PT PLN ENERGI PRIMER INDONESIA;1200;1201;10096383;;;1220;0001
9;1008;PT BAG;1300;1301;17499398;;;1240;0001
10;1009;PT HALEYORA POWER;1300;1301;17408000;;;1210;0001
11;1010;PT PLN ENERGI GAS;1300;1301;17499368;;;1250;0001
12;1011;PT ENERGY MANAGEMENT INDONESIA;1300;1301;10095429;;;1320;
13;1012;PT MANDAU CIPTA TENAGA NUSANTARA;1300;1301;10095320;;;1000;0002
14;1013;PUSDIKLAT;;;;;;;
15;1014;PUSLITBANG;;;;;;;