id;pohon_bisnis_id;kode;description;status
1;1;1.1;PEMBANGKITAN;ACTV
2;1;1.2;TRANSMISI;ACTV
3;1;1.3;DISTRIBUSI;ACTV
4;1;1.4;NIAGA DAN MANAJEMEN PELANGGAN;ACTV
5;2;2.1;PRODUKSI PERALATAN KETENAGALISTRIKAN;ACTV
6;2;2.2;K2, K3, KEAMANAN DAN LINGKUNGAN;ACTV
7;2;2.3;MANAJEMEN PROYEK, ENJINIRING DAN KONSTRUKSI;ACTV
8;2;2.4;PENELITIAN DAN PENGEMBANGAN;ACTV
9;2;2.5;PEMBELAJARAN;ACTV
10;2;2.6;SERTIFIKASI;ACTV
11;3;3.1;SUPPLY CHAIN MANAGEMENT;ACTV
12;3;3.2;REGULATORY AND COMPLIANCE;ACTV
13;3;3.3;TEKNOLOGI INFORMASI;ACTV
14;3;3.4;SDM;ACTV
15;3;3.5;KEUANGAN;ACTV
16;3;3.6;KOMUNIKASI, CSR DAN PENGELOLAAN KANTOR;ACTV
17;3;3.7;MANAJEMEN PERUSAHAAN;ACTV