id;stream_business;description;periode;status
1;Electricity Project and Development;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk menginisiasi, merencanakan, melaksanakan, mengontrol dan menyelesaikan tugas dari kelompok dan sumber daya untuk mencapai sasaran dan tujuan strategis kelistrikan termasuk di dalamnya menangani proyek, konstruksi, konsultansi enjiniring, analisis, dan pengembangan enjiniring, produksi peralatan ketenaglistrikan,  jasa sertifikasi (instalasi, produk), pengujian dan kalibrasi.;2018;ACTV
2;Corporate Research and Knowledge;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk melakukan analisis strategis dalam mempersiapkan perusahaan dengan data yang penting, informasi dan pengetahuan yang berdasarkan penelitian dan analisis yang solid, untuk membantu proses pembuatan keputusan di dalam perusahaan dan meningkatkan kapabilitas perusahaan.;2018;ACTV
3;Internal Control and Compliance;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memastikan dan membimbing organisasi untuk memiliki kesadaran dan mengambil langkah-langkah untuk mematuhi hukum-hukum, peraturan dan/atau kebijakan untuk memenuhi kepatuhan terhadap peraturan dengan memperhatikan aspirasi organisasi dalam mencapai tujuan bisnis serta risiko bisnis.;2018;ACTV
4;Electricity Generation and Transmission;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memastikan bahwa keamanan pasokan listrik selalu dipertahankan dan dimaksimalkan melalui keunggulan operasi dari pembangkit dan transmisi.;2018;ACTV
5;Distribution and Commercial;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memastikan kualitas tinggi dari manajemen ritel, pasokan, layanan kelistrikan kepada pelanggan serta peningkatan customer experience.;2018;ACTV
6;Electricity Generation, Transmission, and Distribution;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memastikan bahwa keamanan untuk pasokan listrik selalu dipertahankan dan dimaksimalkan melalui keunggulan operasi dari pembangkit, transmisi dan distribusi jaringan, sembari mempertahankan dan/atau mengembangkan investasi dan pengembangan bisnis kelistrikan yang signifikan.;2018;INAC
7;Business and Commercial;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memperoleh, meningkatkan dan mengembangkan bisnis organisasi. Kegiatannya meliputi menganalisis dan mengidentifikasi peluang untuk keuntungan organisasi, dan menentukan tindakan untuk eksekusi.;2018;ACTV
8;Strategic Electricity Planning;"Sekelompok fungsi yang tanggung jawab utamanya adalah untuk menganalisa, mendiagnosa, dan mengembangkan perencanaan dan pelaksanaan strategis kelistrikan; Menyediakan perkiraan jangka panjang atas permintaan dan pasokan energi; Memastikan kapasitas masa depan dapat memberikan kemampuan pasokan yang terpercaya dan tanpa gangguan, keamanan sumber daya pasokan, serta menyediakan pilihan-pilihan yang secara ekonomi dan lingkungan dapat diterima dan memenuhi komitmen hukum.";2018;ACTV
9;Corporate Planning and Performance;"Sekelompok fungsi yang tanggung jawab utamanya adalah untuk menganalisis, mbngembangkan, dan mengevaluasi strategi dan kinerja bisnis; memastikan proses yang terpercaya untuk menilai tujuan organisasi dan membuat perencanaan tindakan dan indikator kinerja yang realistis dan terperinci dengan mempertimbangkan strategi perusahaan jangka pendek dan panjang.";2018;ACTV
10;Corporate and Technical Services;"Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memastikan efektivitas manajemen perusahaan dengan menjadi mitra strategis agar semua fungsi inti dan non-inti dapat beroperasi dengan optimal untuk mencapai sasaran kinerja, mengutamakan layanan analisis teknis untuk mendukung proses dan pelaksanaan pembuatan keputusan di dalam organisasi
";2018;ACTV
11;Strategic Planning;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk merencanakan, menganalisis, mengembangkan, dan mengevaluasi sumberdaya, strategi dan kinerja bisnis  jangka pendek dan panjang untuk mencapai visi dan misi perusahaan.;2021;ACTV
12;Operation and Maintenance;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memastikan bahwa   keberlangsungan core business perusahaan selalu dipertahankan dan dimaksimalkan melalui keunggulan operasi dan pemeliharaan.;2021;ACTV
13;Strategic Electricity Support;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk mendukung bisnis inti perusahaan (PLN Holding).;2021;ACTV
14;Digital Support;Sekelompok fungsi yang tanggung jawab utamanya adalah untuk memberikan dukungan digitalisasi sistem kepada fungsi lain dalam perusahaan sehingga proses bisnis perusahaan dapat berjalan maksimal.;2021;ACTV
15;Stakeholder Management;Sekelompok fungsi yang tanggung jawab utamanya untuk membuat dan melaksanakan pengaruh strategi yang memperoleh komitmen untuk gagasan seseorang dan meyakinkan stakeholder utama untuk mengambil tindakan yang akan memajukan kepentingan dan tujuan bisnis bersama.;2021;ACTV